,Dorsal,Ventral,Anterior,Posterior,Cd36,High,Low,GEP 8,GEP 9,GEP 10,GEP 11 (UPR),GEP 12,GEP 13,GEP 14,GEP 15,GEP 16
AC078895.1,0.00035537161039047975,1.9882392384633077e-05,0.0,0.00048164029604993975,0.0,0.0,0.007605165653082029,0.0,0.0,0.0015994518501420718,0.0,0.00099657428593013,0.0,0.0,0.0,0.0
AC121960.2,0.0,0.0,0.008246549215874562,0.0,0.0,0.0,0.0,0.0,0.0,0.0007550744786542059,0.0,0.0,0.0,0.0,0.0,0.0
AC126030.1,0.0,0.0009731292084661368,0.0007199460272195278,0.0,0.0,0.00025343587825516937,0.0,0.0,0.0003671295864778376,0.0002815302952602655,0.0,0.0,0.0,0.0009832378247561782,0.0,0.00015289179164783268
AC149090.1,0.0,0.0014625026823399327,0.0011292506659141923,0.0006643132445019487,0.0008114202159012884,0.0007658952729968546,0.0005111639929401942,5.746504286034962e-05,0.0013146273443072516,0.000527934948061295,0.0,0.0003594768220594835,0.001584775763597537,0.0007397336782591383,0.0015756350897383289,0.0016525249751614848
Abca5,0.0001368431914521214,0.0008765578855683071,0.0022684761847983513,0.00254509101051919,0.00035043450900323946,0.00044760354049572877,0.002324917671602422,0.0,0.000379082508885608,0.002653796484103054,0.001389874553300175,0.0006477886333859715,0.0008340942842026497,0.003380112594365744,0.0,0.0033799562496708356
Abcc1,0.0008478207953871958,6.357273664348092e-05,0.0015264700837675977,0.0008963202556015879,0.0,0.00011016591292615848,0.0011557087469307884,0.0006735836291508674,0.0015644477979186193,0.00045045663660033577,0.0,0.0012635712144727545,5.5457627001959034e-05,0.003113840970075822,0.0004261913549949887,0.0034606260122910333
Abcd2,0.0,0.0,0.0017201688374569029,0.0,0.0038081684461205123,0.0,0.001762673864249106,0.00026721890450524355,0.002307912113923686,0.0,0.0,0.0,0.0002697131626095205,0.0014156528343072592,0.0007801272544762293,0.0018854080282451585
Abcg1,0.00034301258557021316,0.0003028079671641857,0.0,0.002423458696402868,0.0011009843429390087,0.0019917198619880468,0.0,0.0013160676472236765,0.0,0.0002601046711309392,0.0,1.2179944974165292e-05,0.0004349351864677941,0.0005620550727675307,0.0,0.0005033871600551675
Abhd16a,0.0025344922955437984,0.0005853251214217387,0.0009912343648791153,0.0017631064598136947,0.0006071138748724158,0.0011055018317932947,0.0023987430709159745,0.0008034494993939851,0.0011977850897907938,0.002169487700628409,0.0005609654956086193,0.004608759816824116,0.0011490869187933833,0.00037389091154514784,0.0010321788939438169,0.006185430378454041
Abhd17a,0.001995099367322536,0.0010871723423168966,0.0007001570664655239,0.0016616657604777657,0.00046104298915685353,5.059028720295344e-05,0.0030768673404902767,0.0009362920984998366,0.001428101019654584,0.0014225783152959435,7.994987532563683e-05,0.0032113241106503693,0.0,0.0003241288527163988,0.002944549812315981,0.000814162286743666
